winner_fighter,looser_fighter,match_number,method,referee,number_rounds,round_time,weight_class,event_date,event_location,event_name
"
Colby Covington
","
Jorge Masvidal
",Match 13,Method Decision (Unanimous),Referee Herb Dean,Round 5,Time 5:00,Welterweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Rafael dos Anjos,Renato Carneiro,"


                        12                    ",Decision (Unanimous),Marc Goddard,5,5:00,160lb Catchweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Bryce Mitchell,Edson Barboza,"


                        11                    ",Decision (Unanimous),Mark Smith,3,5:00,Featherweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Kevin Holland,Alex Oliveira,"


                        10                    ",TKO (Elbows),Chris Tognoni,2,0:38,Welterweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Sergey Spivak,Greg Hardy,"


                        9                    ",TKO (Punches),Marc Goddard,1,2:16,Heavyweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Jalin Turner,Jamie Mullarkey,"


                        8                    ",TKO (Punches),Herb Dean,2,0:46,Lightweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Marina Rodriguez,Xiaonan Yan,"


                        7                    ",Decision (Split),Chris Tognoni,3,5:00,Strawweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Nicolae Negumereanu,Kennedy Nzechukwu,"


                        6                    ",Decision (Split),Mark Smith,3,5:00,Light Heavyweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Maryna Moroz,Mariya Agapova,"


                        5                    ",Submission (Arm-Triangle Choke),Herb Dean,2,3:27,Flyweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Umar Nurmagomedov,Brian Kelleher,"


                        4                    ",Submission (Rear-Naked Choke),Marc Goddard,1,3:15,Featherweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Tim Elliott,Tagir Ulanbekov,"


                        3                    ",Decision (Unanimous),Chris Tognoni,3,5:00,Flyweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Ludovit Klein,Devonte Smith,"


                        2                    ",Decision (Split),Marc Goddard,3,5:00,Lightweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Dustin Jacoby,Michal Oleksiejczuk,"


                        1                    ",Decision (Unanimous),Mark Smith,3,5:00,Light Heavyweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
"
Islam Makhachev
","
Bobby Green
",Match 11,Method TKO (Punches),Referee Herb Dean,Round 1,Time 3:23,160lbCatchweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Wellington Turman,Misha Cirkunov,"


                        10                    ",Submission (Armbar),Mark Smith,2,1:29,Middleweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Priscila Cachoeira,Ji Yeon Kim,"


                        9                    ",Decision (Unanimous),Keith Peterson,3,5:00,Flyweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Arman Tsarukyan,Joel Alvarez,"


                        8                    ",TKO (Punches),Chris Tognoni,2,1:57,Lightweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Armen Petrosyan,Gregory Rodrigues,"


                        7                    ",Decision (Split),Jason Herzog,3,5:00,Middleweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Ignacio Bahamondes,Zhu Rong,"


                        6                    ",Submission (Brabo Choke),Keith Peterson,3,1:40,160lb Catchweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Josiane Nunes,Ramona Pascual,"


                        5                    ",Decision (Unanimous),Mark Smith,3,5:00,Featherweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Terrance McKinney,Fares Ziam,"


                        4                    ",Submission (Rear-Naked Choke),Herb Dean,1,2:11,Lightweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Jonathan Martinez,Alejandro Perez,"


                        3                    ",Decision (Unanimous),Jason Herzog,3,5:00,Featherweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Ramiz Brahimaj,Micheal Gillmore,"


                        2                    ",Submission (Rear-Naked Choke),Mark Smith,1,2:02,Welterweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Carlos Hernandez,Victor Altamirano,"


                        1                    ",Decision (Split),Chris Tognoni,3,5:00,Flyweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
"
Jamahal Hill
","
Johnny Walker
",Match 12,Method KO (Punch),Referee Jason Herzog,Round 1,Time 2:55,Light Heavyweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Kyle Daukaus,Jamie Pickett,"


                        11                    ",Submission (Brabo Choke),Herb Dean,1,4:59,195lb Catchweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Parker Porter,Alan Baudot,"


                        10                    ",Decision (Unanimous),Mark Smith,3,5:00,Heavyweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Jim Miller,Nikolas Motta,"


                        9                    ",TKO (Punches),Keith Peterson,2,1:58,Lightweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Joaquin Buckley,Abdul Razak Alhassan,"


                        8                    ",Decision (Split),Herb Dean,3,5:00,Middleweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
David Onama,Gabriel Benitez,"


                        7                    ",KO (Punches),Mark Smith,1,4:24,148lb Catchweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Stephanie Egger,Jessica-Rose Clark,"


                        6                    ",Submission (Armbar),Jason Herzog,1,3:44,Bantamweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Chas Skelly,Mark Striegl,"


                        5                    ",TKO (Knee and Punches),Keith Peterson,2,2:01,Featherweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Gloria de Paula,Diana Belbita,"


                        4                    ",Decision (Unanimous),Mark Smith,3,5:00,Strawweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Chad Anheliger,Jesse Strader,"


                        3                    ",TKO (Punches),Herb Dean,3,3:33,Bantamweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Jonathan Pearce,Christian Rodriguez,"


                        2                    ",Decision (Unanimous),Jason Herzog,3,5:00,Featherweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Mario Bautista,Jay Perrin,"


                        1                    ",Decision (Unanimous),Keith Peterson,3,5:00,Bantamweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
"
Israel Adesanya
","
Robert Whittaker
",Match 14,Method Decision (Unanimous),Referee Herb Dean,Round 5,Time 5:00,Middleweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Tai Tuivasa,Derrick Lewis,"


                        13                    ",KO (Elbow),Dan Miragliotta,2,1:40,Heavyweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Jared Cannonier,Derek Brunson,"


                        12                    ",KO (Elbows),Kerry Hatley,2,4:29,Middleweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Renato Carneiro,Alexander Hernandez,"


                        11                    ",Submission (Rear-Naked Choke),Mike Beltran,2,1:23,Lightweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Bobby Green,Nasrat Haqparast,"


                        10                    ",Decision (Unanimous),Mike Beltran,3,5:00,Lightweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Andrei Arlovski,Jared Vanderaa,"


                        9                    ",Decision (Split),Mike Beltran,3,5:00,Heavyweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Casey O'Neill,Roxanne Modafferi,"


                        8                    ",Decision (Split),Jacob Montalvo,3,5:00,Flyweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Kyler Phillips,Marcelo Rojo,"


                        7                    ",Submission (Triangle Armbar),Dan Miragliotta,3,1:48,Bantamweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Carlos Ulberg,Fabio Cherant,"


                        6                    ",Decision (Unanimous),Dan Miragliotta,3,5:00,Light Heavyweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Ronnie Lawrence,Leomana Martinez,"


                        5                    ",Decision (Unanimous),Jacob Montalvo,3,5:00,Bantamweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Jacob Malkoun,A.J. Dobson,"


                        4                    ",Decision (Unanimous),Herb Dean,3,5:00,Middleweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
